"NºDePatrimonio";"DescrDoBem";"Fornecedor";"Marca";"Comentarios";"FormaAquis";"DocDeEntrada";"DataAquis";"ValorAquis";"CódigoDoFuncionário";"NúmeroDoDepartamento";"CódigoDaCategoriaDoBem";"CódDoGrupoDoBem";"SituaçAtualDoBem"
1;"Fusca 1600";"PMETRP.";"Volkswagen";"Cor: Cinza; Placa: Az 7453 Comb.: álcool; Ano/Mod.: 86/86 - Doado pela PMETRP - Lei Municipal nº 3.535, 29/12/92, Chassi nº 9bwzzz11zgpO32465";;;"29/12/92";;57;39;1;7;"Baixado"
2;"Gol CL 1.6";"PMETRP.";"Volkswagen";"Cor: Branco; Placa: ABB 1861; Comb.: álcool; Ano/Mod.: 90/91, Chassi nº 9bwzzz30zlt1195902";;;"01/09/93";;57;39;1;7;"Baixado"
3;"Gol CL 1.8";"Ripivel Ribeirão Pires Veículo Ltda.";"Volkswagen";"Cor: Branco; Placa: BFW 2005; Comb.: Gasolina; Ano/Mod.: 93/93, Chassi nº 9bwzzz30zpt048212.";;;"24/05/1993";"4.47439e+008";57;39;1;7;"Baixado"
4;"Ventilador.";"Mappin - Lojas de Departamento S/A";"Singer.";"3 (Três) fases. Quantidade 1 (um).";;;"15/04/1993";"2.99e+006";57;40;1;3;"Baixado"
5;"Ventilador.";"Mappin - Lojas de Departamento S/A";"Singer.";"3 (Três) fases. Quantidade 1 (um).";;;"15/04/1993";"2.99e+006";57;39;1;3;"Baixado"
6;"Ventilador.";"Mappin - Lojas de Departamento S/A";"Singer.";"3 (Três) fases. Quantidade 1 (um).";;;"15/04/1993";;57;39;1;3;"Baixado"
7;"Mesa para máquina de escrever.";"SKS - Máquinas e Móveis para Escritório Ltda.";;"Quantidade 1 (um).";;;"27/04/1993";"1.6e+006";57;39;1;1;"Baixado"
8;"Microfone";"Colkys - Equipamentos de Som Profissionais Ltda.";"Leson VHF 201";"Quantidade 1 (um).";;;"21/01/1993";;57;39;1;3;"Baixado"
9;"Pedestal.";"Colkys - Equipamentos de Som Profissionais Ltda.";"RWV 001";"Para Microfone girafa. Quantidade 1 (um).";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"21/01/1993";"490000";57;39;1;3;"Baixado"
10;"Pedestal.";"Colkys - Equipamentos de Som Profissionais Ltda.";;"De mesa para microfone. Quantidade 1 (um).";;;"21/01/1993";"210000";57;40;1;3;"Baixado"
11;"Tribuna.";"Pedro Yukihiro Nageishi.";;"Em madeira. Qantidade 1 (um).";;;"27/01/1993";;57;39;1;3;"Baixado"
12;"Panóplia.";"Pedro Yukhiro Nageishi.";"      ---";"Em madeira, com capacidade para 5 bandeiras. Quantidade 1 (uma).";;;"27/01/1993";;57;39;1;3;"Baixado"
13;"Microfone.";"Colkys - Equipamentos se Som Profissionais Ltda.";"Leson VHF 201.";"Sem fio. Quantidade: 1 (um).";;;"01/02/1993";;57;39;;;"Baixado"
14;"Pedestal.";"Colkys - Equipamentos de Som Profissionais.";"RMV";"Para microfone, girafa. Quantidade 1 (um).";;;"01/02/1993";;57;39;;;"Baixado"
15;"Micro.";"Carlos César Gomes  andré - ME.";"     ---";"AT 386, 40 MHZ. Quantidade 1 (um).";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"24/06/1993";;57;39;1;4;"Baixado"
16;"Um Micro.";"Carlos César Gomes André - ME.";"        ----";"AT 386 - 40 MHZ.";;;"24/02/1993";;57;39;;;"Baixado"
17;"Um Micro.";"Carlos César Gomes André - ME.";"        ----";"AT 386 - 40 MHZ.";;;"24/06/1993";;57;39;;;"Baixado"
18;"Um Micro.";"Carlos César Gomes André - ME.";"    ----";"AT 386 - 40 MHZ.";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"24/06/1993";;57;39;1;4;"Baixado"
